name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
제주들불축제,0.75886,0.74518,0.502,0.502,0.502,0.502,0.502,0.502,5.0
제주민속자연사박물관,0.43300000000000005,0.5637335680000001,0.47858848000000004,0.5026326400000001,0.47605638399999994,0.5246204800000001,0.5964760959999998,0.502812736,4.1
제주선흘리벵뒤굴,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,4.0
제주세계자연유산센터,0.4415,0.4415,0.4415,0.744389375,0.4415,0.4415,0.4415,0.4415,4.4
제주여미지식물원,0.49013806280991734,0.48910659834710735,0.5123971603305785,0.5209734214876034,0.5101501256198346,0.6614626578512398,0.519663438016529,0.5515975305785125,4.1
제주올레길,0.5326886,0.47,0.602366,0.5369396,0.47,0.47,0.47,0.6788293999999998,4.6
제주월드컵경기장,0.5321868000000001,0.405,0.6695760000000001,0.9438396,0.5459928000000001,0.531438,0.405,0.5491596,4.0
제주유리박물관,0.45375903999999995,0.49572740800000004,0.47585876799999993,0.7416609759999999,0.502329088,0.43300000000000005,0.48126985600000005,0.586601632,4.1
제주유리의성,0.4138888888888889,0.43994231111111104,0.4841817777777777,0.5680358814814815,0.5277317185185185,0.4801657333333333,0.44037185185185185,0.5512547259259258,3.7
제주절물자연휴양림,0.5526830222222222,0.5395856888888888,0.6262983111111111,0.5259952,0.5864692444444445,0.7116800888888889,0.5116666666666667,0.5682343111111111,4.7
제주중앙지하상가,0.38500000000000006,0.38500000000000006,0.38500000000000006,0.38500000000000006,0.38500000000000006,0.38500000000000006,0.6757792000000001,0.38500000000000006,3.7
제주현대미술관,0.42,0.42,0.42,0.5606483999999999,0.6312885,0.6198594,0.42,0.42,4.1
제주관광승마장,0.4025,0.4025,0.4025,0.4025,0.6359239999999999,0.4025,0.908804,0.4025,4.0
제주국제평화센터,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,4.0
제주김녕미로공원,0.4764285714285714,0.7851303163265306,0.527670163265306,0.4979687857142857,0.5042917448979591,0.5106717346938775,0.5281503775510203,0.5043669591836735,4.1
제주난타,0.44,1.1408912,0.562112,0.44,0.44,0.44,0.44,0.44,4.3
제주도립김창열미술관,0.451,1.18054,0.451,2.7434800000000004,1.2644199999999999,0.451,0.451,1.2403899999999999,4.5
제주맥주,0.455,0.455,0.6994688,0.455,0.455,0.455,0.8648383999999999,0.455,4.5
제주목관아,0.385,0.385,0.385,0.43592200000000003,0.385,0.385,0.385,0.385,3.8
제주미니미니랜드,0.369090625,0.43329812500000003,0.34750000000000003,0.414860125,0.368523625,0.36971800000000005,0.393637,0.39411212500000004,3.3
제주민속박물관,0.405,0.405,0.405,0.7721423999999999,0.405,0.405,0.405,0.405,4.0
제주민속촌,0.45833333333333337,0.5996039111111111,0.6169464888888888,0.5546682666666667,0.49995626666666665,0.5203950222222222,0.4995256888888888,0.5677660444444445,4.1
제주별빛누리공원,0.42500000000000004,0.6584528,0.547112,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.960392,0.42500000000000004,4.2
제주불빛정원,0.3363333333333333,0.5524933333333333,0.7886,0.3363333333333333,0.3363333333333333,0.3363333333333333,1.311,0.3363333333333333,3.3
제주시민속오일시장,0.43166666666666675,0.5297602666666668,0.9122493333333334,0.5064109333333333,0.43166666666666675,0.43166666666666675,0.47940080000000007,0.43166666666666675,4.2
제주요도자기문화박물관,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,4.5
제주웰컴센터,0.43483333333333335,0.43483333333333335,0.43483333333333335,0.43483333333333335,0.6485399999999999,0.43483333333333335,2.935526666666667,0.43483333333333335,4.3
제주추사관,0.43483333333333335,0.43483333333333335,0.43483333333333335,0.7743133333333333,0.43483333333333335,0.43483333333333335,0.43483333333333335,0.43483333333333335,4.3
